"Campaign","Payout Type","Publisher","Experiment IntelliBid","Impressions","Conversions","Conversions one day","Booked Revenue (INR)","Cost (INR)","ePPC (INR)","ePPA (INR)"
"IN_Carwale_NewCars","CPC","rtbFBX","A23","2297.0","4.0","4.0","127.5","58.24360447499999","8.5","31.875"
"IN_Carwale_Oct2014","CPC","rtbFBX","A23","755.0","1.0","0.0","47.5","23.198130689999996","9.5","47.5"
"IN_Ebay_Oct_2013","CPA","rtbFB-XNF","A23","15638.0","17.0","9.0","1173.0","3049.5161307450003","3.4098837209302326","69.0"
"","","rtbFBX","A23","340288.0","214.0","65.0","14766.0","18231.32292009","4.958361316319678","69.0"
"","","rtb-google-auto","A23","226148.0","109.0","29.0","7521.0","6996.189375864","8.210698689956331","69.0"
"","","rtbappnexus","A23","93569.0","76.0","17.0","5244.0","2867.65833533","11.326133909287257","69.0"
"IN_Jetairways","CPC","rtbFB-XNF","A23","8.0","0.0","0.0","14.0","1.33025508","14.0","Infinity"
"","","rtbFBX","A23","87.0","0.0","0.0","14.0","1.828764945","14.0","Infinity"
"IN_Junglee_Jan2014","CPC","rtbFB-XNF","A23","31037.0","236.0","174.0","6202.5","9428.139157919999","7.5","26.281779661016948"
"","","rtbFBX","A23","257065.0","728.0","381.0","17347.5","13779.180782535","7.5","23.828983516483518"
"","","rtb-google-auto","A23","165990.0","255.0","163.0","5025.0","4382.202909656","7.5","19.705882352941178"
"","","rtbappnexus","A23","75696.0","169.0","121.0","4290.0","4385.287378865","7.5","25.384615384615383"
"IN_M_Fabfurnish_Jan","CPC","rtb-google-auto","A23","4.0","0.0","0.0","0.0","0.529152","NaN","NaN"
"IN_Makemytrip_UAE","CPC","rtbFBX","A23","2.0","0.0","0.0","0.0","0.093424485","NaN","NaN"
"IN_Makemytrip_USA","CPC","rtbFBX","A23","6.0","0.0","0.0","0.0","0.39840465","NaN","NaN"
"IN_Paytm_Nov14","CPC","rtbFB-XNF","A23","0.0","1.0","0.0","0.0","0.0","NaN","0.0"
"","","rtbFBX","A23","0.0","6.0","0.0","0.0","0.0","NaN","0.0"
"IN_Quikr-Home_Feb15","CPC","rtbFB-XNF","A23","102.0","1.0","1.0","60.0","22.723508324999997","12.0","60.0"
"","","rtbFBX","A23","842.0","1.0","0.0","96.0","52.62222294","12.0","96.0"
"IN_Tolexo","CPC","rtbFB-XNF","A23","95.0","0.0","0.0","0.0","16.996895265","NaN","NaN"
"","","rtbFBX","A23","1293.0","0.0","0.0","156.0","76.17320844000001","13.0","Infinity"
"IN_giftease","CPC","rtbFB-XNF","A23","34.0","0.0","0.0","0.0","3.23626464","NaN","NaN"
"","","rtbFBX","A23","428.0","0.0","0.0","0.0","5.659304385","NaN","NaN"
"Jabong","CPA","rtbFB-XNF","A23","2118.0","20.0","5.0","1424.04","392.125390545","35.601","71.202"
"","","rtbFBX","A23","73684.0","108.0","10.0","5785.4299966","1281.9143516549998","25.71302220711111","53.568796264814814"
"","","rtb-google-auto","A23","141445.0","76.0","14.0","4450.2600021","6084.237983927999","5.034230771606334","58.55605265921052"
"","","rtbappnexus","A23","109101.0","49.0","18.0","3115.1400021","6279.107923126","3.2348286626168226","63.57428575714285"
